Frame number: 0  Sekunda 2.0: 
Frame number: 14331  Sekunda 575.24: 要有祝福的跌宕

Frame number: 14348  Sekunda 575.92: 为什么这样来许愿呢

Frame number: 14365  Sekunda 576.6: 因为他禄求的不是这些坎坷

Frame number: 14382  Sekunda 577.28: 这些暴风雨

Frame number: 14399  Sekunda 577.96: 
Frame number: 14416  Sekunda 578.64: 他禄求的是一份生长能力的机会

Frame number: 14433  Sekunda 579.32: 很多时候我们的能力

Frame number: 14450  Sekunda 580.0: 只有在风雨的击打当中才会被刺激出来

Frame number: 14467  Sekunda 580.68: 在压力之下才会瑚帮出来

Frame number: 14484  Sekunda 581.36: 我们就理解了

Frame number: 14501  Sekunda 582.04: 为什么海明威说

Frame number: 14518  Sekunda 582.72: 骨头总是在断过的地方会长得很结实

Frame number: 14535  Sekunda 583.4: 骨头总是在记过的地方会长得很结实

Frame number: 14552  Sekunda 584.08: 我们要经历了风雨

Frame number: 14569  Sekunda 584.76: 才能够激友出一个更为强大的上自我

Frame number: 14586  Sekunda 585.44: 这就是失败的价值

Frame number: 14603  Sekunda 586.12: 所以我想把这一段话送给大家

Frame number: 14620  Sekunda 586.8: 去承担人间的祸福

Frame number: 14637  Sekunda 587.48: 去跟暴风琴搏斗

Frame number: 14654  Sekunda 588.16: 在况舟的雁裂声中也军不诅形

Frame number: 14671  Sekunda 588.84: 谢谢大家

Frame number: 14688  Sekunda 589.52: 我是华东政法大字的“非法”老师杜素娟

Frame number: 14705  Sekunda 590.2: 7 AN 人

Frame number: 14722  Sekunda 590.88: 
Frame number: 14739  Sekunda 591.56: 0

Frame number: 14756  Sekunda 592.24: 和

Frame number: 14773  Sekunda 592.92: 和

